amount,dealsubtype,dealtype,from.id,from.label,from.name,from.taxonomy,id,realsector,sector.id,sector.label,sector.name,sector.taxonomy,time.day,time.id,time.label,time.month,time.name,time.quarter,time.taxonomy,time.week,time.year,time.yearmonth,to.id,to.label,to.name,to.taxonomy
22041000000.0,Partial (15%),Public Offering,21,China,cn,from,533c89041436c250e7e0de6a426c0a9f25cb0a32,,2,Financial,financial,sector,01,2,01. January 2006,01,2006-01-01,0,time,00,2006,200601,263,Industrial and Commercial Bank of China,industrial-and-commercial-bank-of-china,to
15400000000.0,,Trade sale,5,Argentina,ar,from,2bbe2eb84f0b8b5cdc1fa1d4887d382cfaf08431,Mining and quarrying (Oil and gas),3,Energy,energy,sector,01,14,01. January 1999,01,1999-01-01,0,time,00,1999,199901,1990,Yacimietos Petroliferos Fiscales (YPF),yacimietos-petroliferos-fiscales-ypf,to
13714000000.0,Partial,Public Offering,21,China,cn,from,a6c61f0bbcd4552ba701bcfc8e5eef4373db938b,,2,Financial,financial,sector,01,2,01. January 2006,01,2006-01-01,0,time,00,2006,200601,227,Bank of China,bank-of-china,to
10700000000.0,,Public Offering,80,Russian Federation,ru,from,f04f974905e2d193e18c6b541099b2af2eb5186b,,3,Energy,energy,sector,01,2,01. January 2006,01,2006-01-01,0,time,00,2006,200601,1258,Rosneft,rosneft,to
9154000000.0,A-shares,IPO,21,China,cn,from,e57f37798bc873d443fdee6b6f3b8bb6b9b09962,,3,Energy,energy,sector,01,7,01. January 2007,01,2007-01-01,0,time,01,2007,200701,296,PetroChina Co Ltd,petrochina-co-ltd,to
9124000000.0,A-shares,IPO,21,China,cn,from,9bdc85dfe0816b2c582874155c9ba59fbcf14bda,,3,Energy,energy,sector,01,7,01. January 2007,01,2007-01-01,0,time,01,2007,200701,295,China Shenhua Energy Co,china-shenhua-energy-co,to
8800000000.0,Partial,IPO,80,Russian Federation,ru,from,086707a4a8cba66b9aec46e609582d7ff0693c3e,,2,Financial,financial,sector,01,7,01. January 2007,01,2007-01-01,0,time,01,2007,200701,1260,Sberbank,sberbank,to
8000000000.0,Partial,IPO,80,Russian Federation,ru,from,6d43726504b5888cb102512240ce83c35b496ab3,,2,Financial,financial,sector,01,7,01. January 2007,01,2007-01-01,0,time,01,2007,200701,1261,Vneshtorgbank,vneshtorgbank,to
7955000000.0,,IPO,21,China,cn,from,493e6a4649bde44f943e4e8fad2ad88914aad7d7,,2,Financial,financial,sector,01,7,01. January 2007,01,2007-01-01,0,time,01,2007,200701,301,China Construction Bank Corporations,china-construction-bank-corporations,to
7700000000.0,A-shares,IPO,21,China,cn,from,ec4b2c1fa1aed1b10abca60a9130c49673b86c24,,2,Financial,financial,sector,01,7,01. January 2007,01,2007-01-01,0,time,01,2007,200701,303,China Pacific Insurance,china-pacific-insurance,to
6550000000.0,Block Sale,Tender,94,Turkey,tr,from,0fb43df3bab9c523bdaa459e199a1c9bcdbbc9bb,,1,Infrastructure,infrastructure,sector,01,1,01. January 2005,01,2005-01-01,0,time,00,2005,200501,1553,Turk Telekom,turk-telekom,to
6051000000.0,,IPO,21,China,cn,from,cf9348d625bf5800c37d6deb9c4b8efa8e5ffd4f,,2,Financial,financial,sector,01,7,01. January 2007,01,2007-01-01,0,time,01,2007,200701,300,China CITIC Bank Corporation,china-citic-bank-corporation,to
5653000000.0,Partial,Divestiture,21,China,cn,from,0b7f3f79c8eeecb4982c2aeb1c965fc3c81b1619,,1,Infrastructure,infrastructure,sector,01,3,01. January 2000,01,2000-01-01,0,time,00,2000,200001,172,China United Communications,china-united-communications,to
5327000000.0,,IPO,21,China,cn,from,597526146c0df7f961c4dc2d610dd3d1afad02ab,,2,Financial,financial,sector,01,7,01. January 2007,01,2007-01-01,0,time,01,2007,200701,304,Ping An Insurance (Group) Company of China,ping-an-insurance-group-company-of-china,to
4967000000.0,,Auction,15,Brazil,br,from,a75d13e6dcdbfce7c7ad9534c3dabb528e00bfd7,Fixed Telephone Services,1,Infrastructure,infrastructure,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,2469,Telesp Participacoes S.A.,telesp-participacoes-s-a,to
4800000000.0,,Direct Sale,96,Ukraine,ua,from,be42604da0376d10769b2583f494e1dc5d4f69a0,,4,Competitive,competitive,sector,01,1,01. January 2005,01,2005-01-01,0,time,00,2005,200501,1624,Kryvorizhstal,kryvorizhstal,to
4700000000.0,Partial (62%),Divestiture,79,Romania,ro,from,b14a889c79d88fc1ebf0b3ccbc31901d2cbdb8a9,,2,Financial,financial,sector,01,2,01. January 2006,01,2006-01-01,0,time,00,2006,200601,1209,Banca Comerciala Romania,banca-comerciala-romania,to
4325000000.0,,Private sale,47,Kazakhstan,kz,from,51443872f32033dbc85c56612e070203ed2fdf5e,Oil,3,Energy,energy,sector,01,11,01. January 1997,01,1997-01-01,0,time,00,1997,199701,4880,Aktyubinskneft,aktyubinskneft,to
4300000000.0,,Divestiture,78,Poland,pl,from,ad859cf12ba62371801e65970b453652983420b2,,1,Infrastructure,infrastructure,sector,01,3,01. January 2000,01,2000-01-01,0,time,00,2000,200001,1106,Telekomunikacja Polska (TPSA),telekomunikacja-polska-tpsa,to
4233300000.0,Full,Divestiture,15,Brazil,br,from,fcec9be9fdd522f3be8c2d393f324bb0a7e1453e,,3,Energy,energy,sector,01,3,01. January 2000,01,2000-01-01,0,time,00,2000,200001,76,Petrobras,petrobras,to
4140000000.0,,,94,Turkey,tr,from,f473102ac56374f448fed961bd07180be4347ce6,,3,Energy,energy,sector,01,2,01. January 2006,01,2006-01-01,0,time,00,2006,200601,1492,Tupras ,tupras,to
4030000000.0,"Build, rehabilitate, operate, and transfer (100%)",Concession,63,Mexico,mx,from,8b30dbd08b7e52624005d464601a20a17b5c3036,,1,Infrastructure,infrastructure,sector,01,7,01. January 2007,01,2007-01-01,0,time,01,2007,200701,876,First FARAC Highway Concession Package ,first-farac-highway-concession-package,to
3933000000.0,,ADRs,21,China,cn,from,76a6637aaa24e3285ff7238bafb317eff6379dea,Telecom,1,Infrastructure,infrastructure,sector,01,11,01. January 1997,01,1997-01-01,0,time,00,1997,199701,3017,China Telecom Hong Kong,china-telecom-hong-kong,to
3900000000.0,Partial (70%),Divestiture,80,Russian Federation,ru,from,03a8a60efdda7a42be9a7fa663b6b693387a36e7,,1,Infrastructure,infrastructure,sector,01,7,01. January 2007,01,2007-01-01,0,time,01,2007,200701,1274,Wholesale Generating Company OAO OGK-4,wholesale-generating-company-oao-ogk-4,to
3881000000.0,,IPO,21,China,cn,from,8d8b466db5e00a65cf65b9456788ca464a4f9410,,2,Financial,financial,sector,01,7,01. January 2007,01,2007-01-01,0,time,01,2007,200701,302,China Life Insurance Company,china-life-insurance-company,to
3774800000.0,,,26,Czech Republic,cz,from,8413c5547c96b4ec2223a2e4ce4e750158852ddb,,1,Infrastructure,infrastructure,sector,01,8,01. January 2002,01,2002-01-01,0,time,00,2002,200201,410,Transgas,transgas,to
3761000000.0,A shares,IPO,21,China,cn,from,cdce730114c7488075ced19431a7133908f26c51,,5,Primary,primary,sector,01,9,01. January 2008,01,2008-01-01,0,time,00,2008,200801,284,"China Coal Energy Co, LTD",china-coal-energy-co-ltd,to
3580500000.0,"Build, rehabilitate, operate, and transfer",Concession,15,Brazil,br,from,3fa197607551f9d75e3a083b46ab273d20fda483,,2,Financial,financial,sector,01,3,01. January 2000,01,2000-01-01,0,time,00,2000,200001,77,Banespa,banespa,to
3454000000.0,,IPO,21,China,cn,from,b70644f9fa5e45a651662fb2783c7dc5f2a18154,,2,Financial,financial,sector,01,7,01. January 2007,01,2007-01-01,0,time,01,2007,200701,213,Bank of Communications,bank-of-communications,to
3300000000.0,,Private Sale,26,Czech Republic,cz,from,efe53a25db4019678e44be46678756d55dbbec87,,1,Infrastructure,infrastructure,sector,01,1,01. January 2005,01,2005-01-01,0,time,00,2005,200501,421,Cesky Telecom ,cesky-telecom,to
