"ОБВРСКИ ПО БУЏЕТСКИ КОРИСНИЦИ, СМЕТКА 630 (ВО ДЕНАРИ)","",""
"Ставка","назив","Неплатени обврски до 31.05.2017"
"01001","ПРЕТСЕДАТЕЛ НА РЕПУБЛИКА МАКЕДОНИЈА","818625.0"
"01002     ","АГЕНЦИЈА ЗА РАЗУЗНАВАЊЕ","26403.0"
"02001     ","СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА","5549883.0"
"02002     ","ДРЖАВЕН ЗАВОД ЗА РЕВИЗИЈА","377069.0"
"02003     ","ДРЖАВНА КОМИСИЈА ЗА СПРЕЧУВАЊЕ НА КОРУПЦИЈА","293378.0"
"02004     ","ДРЖАВНА ИЗБОРНА КОМИСИЈА","565795.0"
"02005     ","КОМИСИЈА ЗА ЗАШТИТА НА КОНКУРЕНЦИЈА","209319.0"
"02006     ","ДИРЕКЦИЈА ЗА ЗАШТИТА НА ЛИЧНИ ПОДАТОЦИ","0.0"
"02007     ","ДРЖАВНА КОМИСИЈА ЗА ЖАЛБИ ПО ЈАВНИ НАБАВКИ ","130574.0"
"02008     ","КОМИСИЈА ЗА ВЕРИФИКАЦИЈА НА ФАКТИТЕ","0.0"
"02009     ","РЕГУЛАТОРНА КОМИСИЈА ЗА ДОМУВАЊЕ","0.0"
"02010     ","СОВЕТ ЗА УНАПРЕДУВАЊЕ И НАДЗОР НА РЕВИЗИЈАТА","3706.0"
"02011     ","КОМИСИЈА ЗА ЗАШТИТА ОД ДИСКРИМИНАЦИЈА","521361.0"
"02012     ","ДРЖАВНА КОМИСИЈА ЗА ОДЛУЧУВАЊЕ ВО УПРАВНА ПОСТАПКА И ПОСТАПКА ОД РАБОТЕН ОДНОС ВО ВТОР СТЕПЕН","180334.0"
"02013     ","РЕВИЗОРСКО ТЕЛО ЗА РЕВИЗИЈА НА ИНСТРУМЕНТОТ ЗА ПРЕТПРИСТАПНА ПОМОШ","305666.0"
"02014     ","ДРЖАВНА КОМИСИЈА ЗА ОДЛУЧУВАЊЕ ВО ВТОР СТЕПЕН ВО ОБЛАСТА НА ИНСПЕКЦИСКИОТ НАДЗОР И ПРЕКРШОЧНАТА ПОСТАПКА","179894.0"
"03001     ","УСТАВЕН СУД НА РЕПУБЛИКА МАКЕДОНИЈА","365601.0"
"04001     ","ВЛАДА НА РЕПУБЛИКА МАКЕДОНИЈА","1652136.0"
"04002     ","СЛУЖБА ЗА ОПШТИ И ЗАЕДНИЧКИ РАБОТИ НА ВЛАДАТА НА РМ","85157598.0"
"04003     ","СЕКРЕТАРИЈАТ ЗА ЗАКОНОДАВСТВО","9000.0"
"04006     ","ДРЖАВНО ПРАВОБРАНИТЕЛСТВО НА РЕПУБЛИКА МАКЕДОНИЈА","126227.0"
"04008     ","АГЕНЦИЈА ЗА АДМИНИСТРАЦИЈА","37782.0"
"04009     ","СЕКРЕТАРИЈАТ ЗА ЕВРОПСКИ ПРАШАЊА","1546431.0"
"04010     ","СЕКРЕТАРИЈАТ ЗА СПРОВЕДУВАЊЕ НА РАМКОВНИОТ ДОГОВОР","4086794.0"
"04012     ","АГЕНЦИЈА ЗА ОСТВАРУВАЊЕ НА ПРАВАТА НА ЗАЕДНИЦИТЕ","35924.0"
"04013     ","АГЕНЦИЈА ЗА УПРАВУВАЊЕ СО ОДЗЕМЕН ИМОТ","223837.0"
"04014     ","ИНСПЕКЦИСКИ СОВЕТ","66250.0"
