"ОБВРСКИ ПО БУЏЕТСКИ КОРИСНИЦИ, СМЕТКА 631 (ВО ДЕНАРИ)","",""
"Ставка","назив","Неплатени обврски до 31.05.2017"
"04002     ","СЛУЖБА ЗА ОПШТИ И ЗАЕДНИЧКИ РАБОТИ НА ВЛАДАТА НА РМ","20131437.0"
"04006     ","ДРЖАВНО ПРАВОБРАНИТЕЛСТВО НА РЕПУБЛИКА МАКЕДОНИЈА","1150.0"
"09001     ","МИНИСТЕРСТВО ЗА ФИНАНСИИ","4365066.0"
"09003     ","ЦАРИНСКА УПРАВА НА РЕПУБЛИКА МАКЕДОНИЈА","1981663.0"
"09005     ","УПРАВА ЗА ЈАВНИ ПРИХОДИ","19941784.0"
"12101     ","МИНИСТЕРСТВО ЗА ЖИВОТНА СРЕДИНА И ПРОСТОРНО ПЛАНИРАЊЕ","10820000.0"
"14001     ","МИНИСТЕРСТВО ЗА ЗЕМЈОДЕЛСТВО, ШУМАРСТВО И ВОДОСТОПАНСТВО","755128.0"
"14003     ","УПРАВА ЗА ХИДРОМЕТЕОРОЛОШКИ РАБОТИ","18000.0"
"14005     ","АГЕНЦИЈА ЗА ХРАНА И ВЕТЕРИНАРСТВО НА РЕПУБЛИКА МАКЕДОНИЈА","8694463.0"
"16001     ","МИНИСТЕРСТВО ЗА ОБРАЗОВАНИЕ И НАУКА","3427337.0"
"18010     ","ФИНАНСИРАЊЕ НА ДЕЈНОСТИТЕ ОД ОБЛАСТА НА КУЛТУРАТА","13630775.0"
"19002     ","ДРЖАВЕН, САНИТАРЕН И ЗДРАВСТВЕН ИНСПЕКТОРАТ","138044.0"
"29010     ","СУДСКА ВЛАСТ","1681350.0"
"ВКУПНО ","","85586197.0"
