"ОБВРСКИ ПО БУЏЕТСКИ КОРИСНИЦИ, сметка 787 (ВО ДЕНАРИ)                                                                                                                                                                                                        ","",""
"Ставка","назив","Неплатени обврски до 31.05.2017"
"04002     ","СЛУЖБА ЗА ОПШТИ И ЗАЕДНИЧКИ РАБОТИ НА ВЛАДАТА НА РМ","465822.0"
"07002     ","УПРАВА ЗА ИЗВРШУВАЊЕ НА САНКЦИИ","193050.0"
"09003     ","ЦАРИНСКА УПРАВА НА РЕПУБЛИКА МАКЕДОНИЈА","1050986.0"
"09009     ","СОВЕТ ЗА ЈАВНИ НАБАВКИ","3048742.0"
"14003     ","УПРАВА ЗА ХИДРОМЕТЕОРОЛОШКИ РАБОТИ","1500.0"
"16001     ","МИНИСТЕРСТВО ЗА ОБРАЗОВАНИЕ И НАУКА","82115116.0"
"18010     ","ФИНАНСИРАЊЕ НА ДЕЈНОСТИТЕ ОД ОБЛАСТА НА КУЛТУРАТА","40662978.0"
"19001     ","МИНИСТЕРСТВО ЗА ЗДРАВСТВО","28349104.0"
"19002     ","ДРЖАВЕН, САНИТАРЕН И ЗДРАВСТВЕН ИНСПЕКТОРАТ","591334.0"
"21001     ","АГЕНЦИЈА ЗА КАТАСТАР НА НЕДВИЖНОСТИ","4747322.0"
"24001     ","ДРЖАВЕН АРХИВ НА РЕПУБЛИКА МАКЕДОНИЈА","28100.0"
"ВКУПНО ","","161254054.0"
