"НАЗИВ НА ЈП И АД","Неплатени обврски до 31.05.2017     (во денари)"
"ЈП „ЗЛЕТОВИЦА“ - ПРОБИШТИП","1359530.0"
"JП „ЛИСИЧЕ“ -  ВЕЛЕС","1623254.0"
"ЈП „ПАСИШТА“ - СКОПЈЕ","190043.0"
"ЈП „АГРО - БЕРЗА“ - СКОПЈЕ","74374.0"
"АД „АЕРОДРОМИ“ - СКОПЈЕ","0.0"
"ЈП „СТРЕЖЕВО“ - БИТОЛА","2626843.0"
"ЈП „СТУДЕНЧИЦА“ - КИЧЕВО","141339.0"
"АД „МИА“ - СКОПЈЕ","802002.0"
"АД „М-НАВ“ - СКОПЈЕ","0.0"
"АД за стопанисување со деловен простор во државна сопственост","0.0"
"АД „МАКЕДОНИЈА ПАТ“ - СКОПЈЕ","778617324.0"
"ЈАВНО ПРЕТПРИЈАТИЕ ЗА ДРЖАВНИ ПАТИШТА","0.0"
"ЈП „СЛУЖБЕН ВЕСНИК НА РМ“ - СКОПЈЕ","627828.0"
"ЈП „МАКЕДОНСКА РАДИОДИФУЗИЈА“ - СКОПЈЕ","10000000.0"
"АД „МАКЕДОНСКА ПОШТА“ - СКОПЈЕ","7197708.0"
"АД „ТЕЦ НЕГОТИНО“ - НЕГОТИНО","1336941.0"
"AД „МЕР“ - СКОПЈЕ","159664046.0"
"АД „МЕПСО“ - СКОПЈЕ","976774701.0"
"ДООЕЛ „БОРИС ТРАЈКОВСКИ“ - СКОПЈЕ","39551928.0"
"АД „ЕЛЕМ“ - СКОПЈЕ","640958956.0"
"АД „ВОДОСТОПАНСТВО“ - СКОПЈЕ","110670263.0"
"АД „ДРЖАВНА ЛОТАРИЈА“ - СКОПЈЕ","0.0"
"JП „МАКЕДОНСКИ ШУМИ“ - СКОПЈЕ","98836396.0"
"ЈП „ИНФРАСТРУКТУРА“ - СКОПЈЕ","237955614.0"
"АД СТОПАНИСУВАЊЕ СО СТАНБЕН И ДЕЛОВЕН ПРОСТОР","74311322.0"
"АД „МЖ ТРАНСПОРТ“ - СКОПЈЕ","2438933497.0"
"ЈП „ЈАСЕН“ - СКОПЈЕ","0.0"
"ЈП „МРТ“ - СКОПЈЕ","462020708.0"
"Вкупно","6044274617.0"
