"","Општина","Неплатени обврски до 31.05.2017           (во денари)",""
"","","",""
"1.0","Арачиново","24649020.0",""
"2.0","Берово","28291011.0",""
"3.0","Битола ","17343339.0",""
"4.0","Богданци","49935462.0",""
"5.0","Боговиње","85100917.0",""
"6.0","Босилово","10596317.0",""
"7.0","Брвеница","66426018.0",""
"8.0","Валандово","0.0",""
"9.0","Василево","38392045.0",""
"10.0","Велес","100570363.0",""
"11.0","Вевчани","5695814.0",""
"12.0","Виница","39714502.0",""
"13.0","Врапчиште","112677093.0",""
"14.0","Гевгелија","112498193.0",""
"15.0","Гостивар","0.0","нема доставено податоци"
"16.0","Градско","30395468.0",""
"17.0","Дебар","74463000.0",""
"18.0","Дебарца","0.0",""
"19.0","Делчево","52647208.0",""
"20.0","Демир Хисар","1554496.0",""
"21.0","Демир Капија","37659772.0",""
"22.0","Дојран","435972.0",""
"23.0","Долнени","16024106.0",""
"24.0","Желино","34497091.0",""
"25.0","Зелениково","8265992.0",""
"26.0","Зрновци","8048822.0",""
"27.0","Илинден","23328217.0",""
"28.0","Јегуновце","990960.0",""
"29.0","Карбинци","52897605.0",""
"30.0","Кавадарци","34553843.0",""
"31.0","Кичево","79715465.0",""
"32.0","Кочани","30841359.0",""
"33.0","Конче","1881611.0",""
"34.0","Кратово","823796.0",""
"35.0","Крива Паланка","7619067.0",""
"36.0","Кривогаштани","36177453.0",""
"37.0","Крушево","14716568.0",""
"38.0","Куманово","128356487.0",""
"39.0","Липково","4698972.0",""
"40.0","Лозово","306133.0",""
"41.0","Македонска Каменица","35545933.0",""
"42.0","Македонски Брод","19556402.0",""
"43.0","Маврово и Ростуше","5680796.0",""
"44.0","Могила","20488822.0",""
"45.0","Неготино ","42033517.0",""
"46.0","Новаци","17173851.0",""
"47.0","Ново Село","8724300.0",""
"48.0","Охрид","719252327.0",""
"49.0","Пехчево","51001686.0",""
"50.0","Петровец","13208774.0",""
"51.0","Пласница","23212466.0",""
"52.0","Прилеп","38684098.0",""
"53.0","Пробиштип","6582712.0",""
"54.0","Радовиш","354386.0",""
"55.0","Ранковце","9887278.0",""
"56.0","Ресен","94380301.0",""
"57.0","Росоман","1073870.0",""
"58.0","Сопиште","88926044.0",""
"59.0","Старо Нагоричане","19890720.0",""
"60.0","Струга","220225113.0",""
"61.0","Струмица","89902957.0",""
"62.0","Студеничани","49351815.0",""
"63.0","Свети Николе","11270404.0",""
"64.0","Теарце","22027886.0",""
"65.0","Тетово","498879907.0",""
"66.0","Центар Жупа","1106412.0",""
"67.0","Чашка","10182015.0",""
"68.0","Чешиново-Облешево","7229678.0",""
"69.0","Чучер - Сандево","200000.0",""
"70.0","Штип","1796796.0",""
"71.0","Аеродром","4440265.0",""
"72.0","Бутел","636599.0",""
"73.0","Гази Баба","115537790.0",""
"74.0","Ѓорче Петров","0.0",""
"75.0","Карпош","475779046.0",""
"76.0","Кисела Вода","104823693.0",""
"77.0","Сарај","72796511.0",""
"78.0","Центар ","102542420.0",""
"79.0","Чаир","143157775.0",""
"80.0","Шуто Оризари","1503982.0",""
"81.0","Град Скопје","85576216.0",""
"","ВКУПНО","4607415120.0",""
